Dataset,$\ell_p$,Source Model,Library,Attack Name,I1 ASR,I1 Optimality,I2 ASR,I2 Optimality,I3 ASR,I3 Optimality,I4 ASR,I4 Optimality
imagenet,$\ell_2$,I1,Original,\hornetwrap{APGD},100.0,0.997,89.3,0.967,90.5,0.971,74.7,0.946
imagenet,$\ell_2$,I1,Foolbox,\hornetwrap{PGD},100.0,0.989,87.6,0.926,88.4,0.926,71.1,0.892
imagenet,$\ell_2$,I1,CleverHans,\hornetwrap{PGD},100.0,0.949,73.6,0.714,70.7,0.622,40.4,0.449
imagenet,$\ell_2$,I1,ART,\hornetwrap{BIM},99.7,0.952,7.4,0.153,5.8,0.119,3.7,0.105
imagenet,$\ell_2$,I1,ART,\hornetwrap{PGD},99.7,0.95,4.0,0.087,2.9,0.062,1.6,0.049
imagenet,$\ell_2$,I2,Original,\hornetwrap{APGD},99.9,0.936,100.0,0.994,96.7,0.931,98.4,0.886
imagenet,$\ell_2$,I2,Foolbox,\hornetwrap{PGD},99.7,0.918,100.0,0.99,94.8,0.882,97.0,0.825
imagenet,$\ell_2$,I2,ART,\hornetwrap{BIM},92.0,0.889,99.9,0.995,79.5,0.841,86.4,0.892
imagenet,$\ell_2$,I2,CleverHans,\hornetwrap{PGD},91.3,0.811,100.0,0.988,92.2,0.847,77.4,0.708
imagenet,$\ell_2$,I2,ART,\hornetwrap{PGD},59.4,0.637,99.9,0.99,58.2,0.686,51.8,0.62
imagenet,$\ell_2$,I3,Original,\hornetwrap{APGD},99.8,0.949,94.3,0.907,100.0,0.991,98.4,0.877
imagenet,$\ell_2$,I3,ART,\hornetwrap{BIM},95.9,0.924,74.5,0.817,99.8,0.996,87.3,0.905
imagenet,$\ell_2$,I3,Foolbox,\hornetwrap{PGD},99.7,0.929,92.7,0.864,100.0,0.991,96.6,0.808
imagenet,$\ell_2$,I3,CleverHans,\hornetwrap{PGD},95.1,0.876,91.7,0.868,100.0,0.988,80.3,0.746
imagenet,$\ell_2$,I3,ART,\hornetwrap{PGD},77.9,0.799,60.9,0.722,99.8,0.989,64.6,0.747
imagenet,$\ell_2$,I4,Original,\hornetwrap{APGD},100.0,0.978,99.7,0.962,99.9,0.977,100.0,0.991
imagenet,$\ell_2$,I4,Foolbox,\hornetwrap{PGD},99.9,0.975,99.3,0.952,99.8,0.967,100.0,0.994
imagenet,$\ell_2$,I4,ART,\hornetwrap{BIM},99.8,0.975,96.5,0.941,99.1,0.966,100.0,0.995
imagenet,$\ell_2$,I4,CleverHans,\hornetwrap{PGD},99.8,0.978,97.5,0.936,98.7,0.959,100.0,0.976
imagenet,$\ell_2$,I4,ART,\hornetwrap{PGD},98.6,0.97,89.8,0.915,96.1,0.961,100.0,0.978
imagenet,$\ell_2$,E,ART,\hornetwrap{BIM},99.9,0.974,97.2,0.949,99.3,0.969,93.2,0.937
imagenet,$\ell_2$,E,Original,\hornetwrap{APGD},100.0,0.977,99.7,0.968,100.0,0.979,99.2,0.903
imagenet,$\ell_2$,E,Foolbox,\hornetwrap{PGD},100.0,0.973,99.4,0.956,99.9,0.97,98.3,0.847
imagenet,$\ell_2$,E,CleverHans,\hornetwrap{PGD},99.9,0.974,97.7,0.942,98.9,0.961,83.9,0.778
imagenet,$\ell_2$,E,ART,\hornetwrap{PGD},99.1,0.971,91.0,0.925,96.4,0.963,70.0,0.784
imagenet,$\ell_1$,I1,Original,\hornetwrap{APGD},100.0,0.962,37.1,0.908,41.3,0.934,10.3,0.866
imagenet,$\ell_1$,I1,AdvLib,\hornetwrap{APGD},100.0,0.992,34.2,0.862,37.1,0.854,8.1,0.682
imagenet,$\ell_1$,I1,Foolbox,\hornetwrap{BIM},99.9,0.58,10.2,0.165,8.8,0.119,5.5,0.366
imagenet,$\ell_1$,I1,Foolbox,\hornetwrap{PGD},99.9,0.583,10.1,0.164,8.4,0.113,5.2,0.372
imagenet,$\ell_1$,I1,ART,\hornetwrap{BIM},99.8,0.752,0.7,0.027,0.6,0.021,0.4,0.06
imagenet,$\ell_1$,I2,Original,\hornetwrap{APGD},75.1,0.927,100.0,0.983,75.3,0.96,50.0,0.85
imagenet,$\ell_1$,I2,Foolbox,\hornetwrap{PGD},57.8,0.567,100.0,0.634,63.0,0.616,42.0,0.582
imagenet,$\ell_1$,I2,Foolbox,\hornetwrap{BIM},55.5,0.541,99.9,0.613,62.7,0.613,40.6,0.548
imagenet,$\ell_1$,I2,AdvLib,\hornetwrap{APGD},53.6,0.572,100.0,0.989,59.3,0.643,27.5,0.373
imagenet,$\ell_1$,I2,ART,\hornetwrap{BIM},18.1,0.268,98.5,0.681,29.3,0.398,15.7,0.355
imagenet,$\ell_1$,I3,Original,\hornetwrap{APGD},80.7,0.885,73.7,0.913,100.0,0.98,41.3,0.637
imagenet,$\ell_1$,I3,Foolbox,\hornetwrap{PGD},68.6,0.643,62.7,0.659,100.0,0.595,46.9,0.692
imagenet,$\ell_1$,I3,Foolbox,\hornetwrap{BIM},66.4,0.626,62.2,0.66,99.9,0.565,47.2,0.685
imagenet,$\ell_1$,I3,AdvLib,\hornetwrap{APGD},60.1,0.617,60.6,0.698,100.0,0.988,24.7,0.357
imagenet,$\ell_1$,I3,ART,\hornetwrap{BIM},30.0,0.398,36.5,0.509,96.9,0.637,25.8,0.565
imagenet,$\ell_1$,I4,Original,\hornetwrap{APGD},98.0,0.975,95.7,0.987,98.1,0.993,100.0,0.976
imagenet,$\ell_1$,I4,AdvLib,\hornetwrap{APGD},94.7,0.856,89.1,0.833,93.7,0.856,100.0,0.985
imagenet,$\ell_1$,I4,Foolbox,\hornetwrap{PGD},80.6,0.602,69.1,0.537,75.1,0.566,98.6,0.526
imagenet,$\ell_1$,I4,Foolbox,\hornetwrap{BIM},78.6,0.581,66.7,0.515,72.6,0.54,96.9,0.505
imagenet,$\ell_1$,I4,ART,\hornetwrap{BIM},40.8,0.412,34.2,0.355,40.9,0.404,70.1,0.492
imagenet,$\ell_1$,E,Original,\hornetwrap{APGD},98.5,0.982,96.1,0.989,98.2,0.995,54.4,0.782
imagenet,$\ell_1$,E,AdvLib,\hornetwrap{APGD},95.1,0.861,89.6,0.841,93.8,0.856,31.0,0.38
imagenet,$\ell_1$,E,Foolbox,\hornetwrap{PGD},86.8,0.677,77.0,0.629,80.9,0.629,53.9,0.69
imagenet,$\ell_1$,E,Foolbox,\hornetwrap{BIM},85.7,0.663,75.6,0.617,79.5,0.615,53.3,0.672
