Dataset,BatchSize,Threat,Source Model,Attack,standard TSR(FR),standard S_APR,standard S_total,standard median_norm,standard Optimality,zhang_2020_small TSR(FR),zhang_2020_small S_APR,zhang_2020_small S_total,zhang_2020_small median_norm,zhang_2020_small Optimality,stutz_2020 TSR(FR),stutz_2020 S_APR,stutz_2020 S_total,stutz_2020 median_norm,stutz_2020 Optimality,xiao_2020 TSR(FR),xiao_2020 S_APR,xiao_2020 S_total,xiao_2020 median_norm,xiao_2020 Optimality,wang_2023_small TSR(FR),wang_2023_small S_APR,wang_2023_small S_total,wang_2023_small median_norm,wang_2023_small Optimality,per-time,Average transfer optimality
cifar10,128,l1,standard,original_apgd_l1_minimal,100.0,6.2964,629.64,1.016,0.991,100.0,0.0067,0.67,0.0,0.912,100.0,0.34,33.99,5.429,0.983,100.0,0.0348,3.48,176.851,0.844,94.8,0.0125,1.19,245.02,0.955,2.02,0.923
cifar10,128,l1,standard,adv_lib_apgd_l1_minimal,100.0,6.2037,620.37,1.114,0.975,94.1,0.0079,0.75,0.0,0.88,100.0,0.2622,26.22,7.503,0.985,100.0,0.0352,3.52,199.351,0.806,94.3,0.0182,1.72,226.989,0.958,2.029,0.907
cifar10,128,l1,standard,fb_bim_l1_minimal,100.0,1.3021,130.21,6.211,0.396,96.2,0.0057,0.55,0.0,0.813,99.7,0.024,2.39,132.104,0.675,98.5,0.0972,9.57,270.176,0.697,94.4,0.0055,0.52,354.586,0.915,0.195,0.775
cifar10,128,l1,standard,fb_pgd_l1_minimal,100.0,1.3411,134.11,6.199,0.396,95.6,0.007,0.67,0.0,0.812,99.7,0.024,2.39,140.598,0.667,98.3,0.0764,7.51,278.905,0.689,94.3,0.0052,0.49,359.812,0.913,0.943,0.77
cifar10,128,l1,standard,fb_fgm_l1_minimal,98.3,1.3119,129.01,11.384,0.312,83.0,0.0073,0.61,0.0,0.734,97.8,0.0264,2.58,146.563,0.635,89.0,0.0849,7.56,288.791,0.615,97.1,0.0056,0.54,344.461,0.934,0.027,0.729
cifar10,128,l1,standard,art_fgm_l1_minimal,98.3,1.3126,129.07,11.414,0.312,83.1,0.0073,0.61,0.0,0.733,97.7,0.0264,2.58,148.325,0.633,88.7,0.1069,9.48,289.683,0.61,97.1,0.0056,0.54,345.491,0.933,0.478,0.727
cifar10,128,l1,standard,art_bim_l1_minimal,100.0,1.4162,141.62,4.045,0.584,9.2,0.0476,0.44,0.0,0.117,45.3,0.0439,1.99,154.42,0.387,19.9,0.4581,9.13,100000.0,0.267,8.4,0.0264,0.22,100000.0,0.09,1.886,0.215
cifar10,128,l1,standard,art_pgd_l1_minimal,100.0,1.4145,141.45,4.055,0.581,5.4,0.0749,0.4,0.0,0.07,27.6,0.0693,1.91,100000.0,0.252,17.8,0.6581,11.72,100000.0,0.242,3.6,0.0502,0.18,100000.0,0.039,0.882,0.151
cifar10,128,l1,standard,ch_fgm_l1_minimal,2.6,146.251,374.96,100000.0,0.029,0.2,3.4535,0.8,0.0,0.003,3.1,16.9886,52.14,100000.0,0.031,4.7,34.7876,163.03,100000.0,0.066,0.3,5.0594,1.64,100000.0,0.004,0.029,0.026
cifar10,128,l1,zhang_2020_small,original_apgd_l1_minimal,100.0,0.3733,37.33,100.538,0.93,100.0,10.3144,1031.44,0.0,0.978,100.0,0.2248,22.48,7.694,0.949,100.0,0.4207,42.07,38.311,0.941,100.0,0.0194,1.94,160.674,0.965,0.138,0.946
cifar10,128,l1,zhang_2020_small,adv_lib_apgd_l1_minimal,100.0,0.0265,2.65,114.037,0.942,100.0,11.3668,1136.68,0.0,0.849,100.0,0.1936,19.36,9.554,0.932,100.0,0.1182,11.82,40.713,0.897,99.6,0.0155,1.54,182.754,0.936,0.152,0.927
cifar10,128,l1,zhang_2020_small,fb_pgd_l1_minimal,53.8,0.0585,3.15,58.033,0.565,97.9,5.0397,493.64,0.0,0.804,99.4,0.2266,22.52,7.072,0.972,52.9,1.8735,99.07,20.987,0.566,22.7,0.0643,1.46,100000.0,0.255,0.042,0.59
cifar10,128,l1,zhang_2020_small,fb_bim_l1_minimal,29.2,0.0983,2.88,100000.0,0.309,85.2,5.6949,485.23,0.0,0.735,95.0,0.236,22.42,6.962,0.934,41.2,1.6504,67.95,21.272,0.444,11.5,0.1027,1.18,100000.0,0.13,0.007,0.454
cifar10,128,l1,zhang_2020_small,fb_fgm_l1_minimal,23.2,0.6262,14.52,100000.0,0.245,81.7,6.3438,518.4,0.0,0.67,92.4,0.2774,25.63,6.234,0.91,37.7,1.4639,55.19,24.247,0.406,8.3,0.1459,1.21,100000.0,0.094,0.001,0.414
cifar10,128,l1,zhang_2020_small,art_fgm_l1_minimal,23.2,0.6262,14.52,100000.0,0.245,81.7,6.3438,518.4,0.0,0.67,92.4,0.2774,25.63,6.234,0.91,37.7,1.4647,55.23,24.247,0.406,8.3,0.1459,1.21,100000.0,0.094,0.03,0.414
cifar10,128,l1,zhang_2020_small,art_bim_l1_minimal,26.6,0.3533,9.39,100000.0,0.279,94.0,3.787,355.88,0.0,0.885,89.9,0.2696,24.24,5.862,0.889,25.4,2.0734,52.7,73.091,0.273,9.4,0.1034,0.97,100000.0,0.105,0.088,0.387
cifar10,128,l1,zhang_2020_small,art_pgd_l1_minimal,22.3,0.4166,9.3,100000.0,0.236,91.5,3.8936,356.11,0.0,0.862,88.1,0.2744,24.17,5.895,0.873,23.3,2.1369,49.87,100000.0,0.252,7.4,0.1232,0.91,100000.0,0.084,0.033,0.361
cifar10,128,l1,zhang_2020_small,ch_fgm_l1_minimal,0.5,7.6448,3.63,100000.0,0.005,9.8,94.3219,926.29,0.0,0.104,1.5,8.6178,12.75,100000.0,0.015,5.4,25.6849,139.97,100000.0,0.06,0.2,7.0884,1.23,100000.0,0.002,0.001,0.021
cifar10,128,l1,stutz_2020,original_apgd_l1_minimal,100.0,0.0152,1.52,227.529,0.825,97.2,0.0091,0.89,0.0,0.934,100.0,6.3021,630.21,0.317,0.99,100.0,0.0618,6.18,159.218,0.869,96.3,0.0066,0.63,359.98,0.958,0.805,0.896
cifar10,128,l1,stutz_2020,adv_lib_apgd_l1_minimal,100.0,0.0122,1.22,179.98,0.863,97.8,0.0061,0.6,0.0,0.926,100.0,6.3936,639.36,0.5,0.883,100.0,0.0598,5.98,254.595,0.775,93.8,0.0054,0.51,361.27,0.937,0.818,0.875
cifar10,128,l1,stutz_2020,fb_fgm_l1_minimal,96.4,0.062,5.97,183.164,0.846,79.8,0.0086,0.69,0.0,0.786,100.0,0.641,64.1,2.895,0.2,90.2,0.1534,13.85,200.31,0.749,93.2,0.0059,0.55,402.648,0.913,0.008,0.824
cifar10,128,l1,stutz_2020,art_fgm_l1_minimal,96.4,0.062,5.97,183.164,0.846,79.8,0.0086,0.69,0.0,0.786,100.0,0.641,64.1,2.895,0.2,90.2,0.1535,13.85,200.31,0.749,93.2,0.0059,0.55,402.648,0.913,0.373,0.824
cifar10,128,l1,stutz_2020,fb_pgd_l1_minimal,99.0,0.0032,0.31,491.242,0.517,96.5,0.0047,0.45,0.0,0.9,100.0,1.1008,110.08,2.178,0.316,97.5,0.2689,26.22,441.921,0.544,94.7,0.0022,0.21,582.277,0.869,0.375,0.708
cifar10,128,l1,stutz_2020,fb_bim_l1_minimal,98.9,0.003,0.3,489.365,0.517,94.6,0.0046,0.44,0.0,0.888,100.0,1.1228,112.28,2.036,0.323,97.6,0.0675,6.59,451.186,0.544,94.9,0.0023,0.22,577.531,0.872,0.072,0.705
cifar10,128,l1,stutz_2020,art_bim_l1_minimal,26.3,0.0136,0.36,100000.0,0.279,12.0,0.0266,0.32,0.0,0.13,100.0,1.2777,127.77,1.388,0.447,19.7,0.446,8.8,100000.0,0.254,4.5,0.012,0.05,100000.0,0.05,0.745,0.178
cifar10,128,l1,stutz_2020,art_pgd_l1_minimal,10.0,0.0218,0.22,100000.0,0.111,6.3,0.0326,0.2,0.0,0.068,100.0,1.2682,126.82,1.406,0.445,16.0,0.6106,9.76,100000.0,0.21,1.5,0.0214,0.03,100000.0,0.016,0.295,0.101
cifar10,128,l1,stutz_2020,ch_fgm_l1_minimal,1.4,10.9006,14.84,100000.0,0.016,0.1,3.3372,0.17,0.0,0.001,3.7,40.9288,152.48,100000.0,0.042,4.8,40.2429,194.73,100000.0,0.065,0.2,2.8138,0.55,100000.0,0.002,0.008,0.021
cifar10,128,l1,xiao_2020,original_apgd_l1_minimal,100.0,0.0208,2.08,141.758,0.924,100.0,0.0226,2.26,0.0,0.926,100.0,0.0507,5.07,58.112,0.881,100.0,17.9525,1795.25,3.218,0.986,100.0,0.0163,1.63,151.521,0.916,0.777,0.912
cifar10,128,l1,xiao_2020,adv_lib_apgd_l1_minimal,100.0,0.015,1.5,147.504,0.93,98.2,0.0168,1.65,0.0,0.855,100.0,0.0674,6.74,39.054,0.927,100.0,21.8261,2182.61,5.0,0.939,95.1,0.0126,1.2,202.51,0.866,0.8,0.894
