Dataset,BatchSize,Threat,Source Model,Attack,cohen_2019_certified TSR(FR),cohen_2019_certified S_APR,cohen_2019_certified S_total,cohen_2019_certified median_norm,cohen_2019_certified Optimality,yang_2019_MENet TSR(FR),yang_2019_MENet S_APR,yang_2019_MENet S_total,yang_2019_MENet median_norm,yang_2019_MENet Optimality,per-time,Average transfer optimality
cifar10,128,l1,standard,original_apgd_l1_minimal_20,67.0(0.28118656497953043),33.8103,2266.7,625.508,0.66,53.4(0.22901015364432856),23.3229,1246.14,500.273,0.519,0.471,0.59
cifar10,128,l1,standard,fb_pgd_l1_minimal_20,70.8(0.2782886544652765),155.8732,11034.92,911.019,0.604,57.4(0.22937037019740733),143.9823,8268.37,541.269,0.548,0.933,0.576
cifar10,128,l1,standard,fb_bim_l1_minimal_20,70.5(0.27655689443626613),176.4338,12440.2,913.142,0.598,56.5(0.2288410770018009),152.0258,8594.08,544.749,0.537,0.193,0.568
cifar10,128,l1,standard,fb_fgm_l1_minimal_20,45.2(0.2577413221276648),353.3693,15961.03,1043.528,0.363,47.3(0.22480833983415532),301.7142,14274.23,697.968,0.441,0.028,0.402
cifar10,128,l1,zhang_2020_small,original_apgd_l1_minimal_20,70.2(0.2783649789719043),902.2382,63376.23,194.404,0.733,55.0(0.22926000652868844),44.7369,2461.08,362.344,0.636,0.035,0.685
cifar10,128,l1,zhang_2020_small,fb_pgd_l1_minimal_20,44.2(0.25676214331520353),206.0511,9111.72,202.933,0.446,32.8(0.20581126545424852),50.1733,1646.16,100000.0,0.36,0.044,0.403
cifar10,128,l1,zhang_2020_small,fb_bim_l1_minimal_20,33.2(0.23467758454497759),305.9272,10168.71,213.073,0.316,26.5(0.1916069696348896),143.4952,3799.59,100000.0,0.277,0.005,0.296
cifar10,128,l1,zhang_2020_small,fb_fgm_l1_minimal_20,22.9(0.20401171556090153),405.0471,9292.97,100000.0,0.194,17.7(0.16369189478209828),266.7514,4713.63,100000.0,0.155,0.001,0.174
cifar10,128,l1,ensemble,original_apgd_l1_minimal_20,85.8(0.2770129686233369),43.4533,3726.9,188.735,0.812,78.9(0.2265759674440426),0.0741,5.84,278.652,0.763,0.941,0.788
cifar10,128,l1,ensemble,fb_pgd_l1_minimal_20,83.8(0.28687660427570144),19.9033,1667.25,191.232,0.731,71.2(0.23332966194889307),15.898,1132.71,282.371,0.671,1.867,0.701
cifar10,128,l1,ensemble,fb_bim_l1_minimal_20,81.3(0.2857225745325614),35.9945,2926.5,194.404,0.676,67.5(0.23564037634733956),14.5132,979.05,329.346,0.629,0.386,0.652
cifar10,128,l1,ensemble,fb_fgm_l1_minimal_20,56.6(0.27972362921534144),14.7233,833.05,527.584,0.458,55.8(0.23634213392808076),0.1466,8.17,438.925,0.508,0.056,0.483
