Dataset,BatchSize,Threat,Source Model,Attack,cohen_2019_certified TSR(FR),cohen_2019_certified S_APR,cohen_2019_certified S_total,cohen_2019_certified median_norm,cohen_2019_certified Optimality,yang_2019_MENet TSR(FR),yang_2019_MENet S_APR,yang_2019_MENet S_total,yang_2019_MENet median_norm,yang_2019_MENet Optimality,per-time,Average transfer optimality
cifar10,128,linf,standard,ch_pgd_minimal,69.5,417.9432,29052.72,0.465,0.539,53.5,415.1527,22215.34,0.293,0.484,0.748,0.512
cifar10,128,linf,standard,art_bim_minimal,65.0,801.0416,52067.71,0.47,0.511,52.4,511.066,26758.14,0.377,0.442,1.941,0.476
cifar10,128,linf,standard,original_apgd_minimal,68.9,385.5699,26579.9,0.478,0.501,53.3,60.651,3230.79,0.39,0.43,0.415,0.466
cifar10,128,linf,standard,art_pgd_minimal,58.0,770.9745,44727.46,0.495,0.421,52.7,415.9986,21918.52,0.377,0.443,0.779,0.432
cifar10,128,linf,standard,art_fgm_minimal,45.6,392.7469,17920.16,0.517,0.347,48.0,557.0943,26721.19,0.341,0.439,0.029,0.393
cifar10,128,linf,zhang_2020_small,ch_pgd_minimal,74.4,308.6835,22967.31,0.18,0.651,63.2,439.6532,27774.9,0.216,0.584,0.035,0.618
cifar10,128,linf,zhang_2020_small,original_apgd_minimal,69.5,6259.6264,434998.54,0.184,0.628,52.5,336.5905,17684.52,0.274,0.465,0.014,0.546
cifar10,128,linf,zhang_2020_small,art_bim_minimal,59.9,378.6526,22696.62,0.196,0.533,52.7,553.1145,29172.93,0.266,0.465,0.085,0.499
cifar10,128,linf,zhang_2020_small,art_pgd_minimal,59.3,944.8622,56035.95,0.196,0.526,51.4,528.1966,27130.15,0.271,0.453,0.032,0.489
cifar10,128,linf,zhang_2020_small,art_fgm_minimal,46.8,780.1714,36514.67,0.252,0.364,47.2,579.738,27384.64,0.443,0.379,0.003,0.371
cifar10,128,linf,stutz_2020,ch_pgd_minimal,64.1,695.0611,44526.58,0.502,0.448,49.9,221.8216,11059.81,0.393,0.446,0.301,0.447
cifar10,128,linf,stutz_2020,original_apgd_minimal,66.6,968.3912,64484.97,0.496,0.47,52.5,119.1639,6250.9,0.473,0.41,0.154,0.44
cifar10,128,linf,stutz_2020,art_fgm_minimal,45.5,889.4073,40483.72,0.44,0.413,48.3,471.5608,22776.63,0.377,0.457,0.009,0.435
cifar10,128,linf,stutz_2020,art_bim_minimal,62.6,454.0596,28442.37,0.506,0.438,52.0,433.8721,22560.54,0.45,0.424,0.751,0.431
cifar10,128,linf,stutz_2020,art_pgd_minimal,55.6,559.8693,31148.66,0.541,0.36,50.2,919.4007,46186.21,0.49,0.405,0.289,0.383
cifar10,128,linf,xiao_2020,ch_pgd_minimal,78.4,570.9932,44781.39,0.173,0.668,66.1,338.6644,22385.42,0.195,0.608,0.298,0.638
cifar10,128,linf,xiao_2020,original_apgd_minimal,79.8,3723.9393,297180.58,0.184,0.701,64.9,249.6964,16209.91,0.243,0.572,0.142,0.636
cifar10,128,linf,xiao_2020,art_bim_minimal,75.7,509.7877,38609.98,0.172,0.672,65.8,525.3865,34553.72,0.224,0.584,0.704,0.628
cifar10,128,linf,xiao_2020,art_pgd_minimal,75.6,704.0823,53228.46,0.179,0.665,66.2,478.3665,31688.83,0.228,0.587,0.267,0.626
cifar10,128,linf,xiao_2020,art_fgm_minimal,45.6,1023.9071,46691.56,0.283,0.341,47.6,266.3312,12665.44,0.409,0.376,0.01,0.358
cifar10,128,linf,wang_2023_small,original_apgd_minimal,64.0,711.4965,45561.64,0.071,0.621,64.9,195.5015,12692.1,0.07,0.64,0.445,0.63
cifar10,128,linf,wang_2023_small,ch_pgd_minimal,61.2,453.0085,27741.78,0.097,0.537,55.5,440.4495,24430.38,0.1,0.515,0.808,0.526
cifar10,128,linf,wang_2023_small,art_bim_minimal,51.7,445.9678,23063.37,0.089,0.477,51.4,432.6677,22217.52,0.094,0.481,2.078,0.479
cifar10,128,linf,wang_2023_small,art_pgd_minimal,51.8,624.945,32356.88,0.088,0.48,49.8,568.0256,28284.73,0.095,0.463,0.834,0.472
cifar10,128,linf,wang_2023_small,art_fgm_minimal,47.3,935.8456,44225.22,0.126,0.403,47.0,204.8256,9637.01,0.314,0.383,0.03,0.393
cifar10,128,linf,ensemble,original_apgd_minimal,96.4,39.5019,3809.21,0.069,0.769,98.4,0.0637,6.27,0.064,0.815,0.83,0.792
cifar10,128,linf,ensemble,art_bim_minimal,99.2,0.0617,6.11,0.071,0.792,98.2,0.0761,7.47,0.076,0.764,3.882,0.778
cifar10,128,linf,ensemble,ch_pgd_minimal,99.3,0.0619,6.14,0.074,0.759,98.6,0.1064,10.48,0.078,0.792,1.496,0.776
cifar10,128,linf,ensemble,art_pgd_minimal,99.0,0.0867,8.59,0.069,0.785,97.6,0.0701,6.84,0.078,0.749,1.558,0.767
cifar10,128,linf,ensemble,art_fgm_minimal,95.3,0.1316,12.54,0.083,0.624,95.4,0.0653,6.23,0.11,0.653,0.058,0.638
