Dataset,BatchSize,Threat,Source Model,Attack,standard_imagenet TSR(FR),standard_imagenet S_APR,standard_imagenet S_total,standard_imagenet median_norm,standard_imagenet Optimality,wong_2020 TSR(FR),wong_2020 S_APR,wong_2020 S_total,wong_2020 median_norm,wong_2020 Optimality,salman_2020 TSR(FR),salman_2020 S_APR,salman_2020 S_total,salman_2020 median_norm,salman_2020 Optimality,debenedetti_2022 TSR(FR),debenedetti_2022 S_APR,debenedetti_2022 S_total,debenedetti_2022 median_norm,debenedetti_2022 Optimality,per-time,Average transfer optimality
imagenet,32,l1,standard_imagenet,original_apgd_l1_minimal,100.0(0.21713087549161592),1.2359,123.59,5.421,0.962,100.0(0.35496511003450704),0.002,0.2,393.653,0.993,100.0(0.2632999619752077),0.0039,0.39,1600.625,0.991,100.0(0.2399399492875409),0.0005,0.05,6770.001,0.968,1.363,0.984
imagenet,32,l1,standard_imagenet,adv_lib_apgd_l1_minimal,100.0(0.21713087549161592),2.2086,220.86,4.005,0.992,100.0(0.35496511003450704),0.002,0.2,351.446,0.982,100.0(0.2632999619752077),0.0036,0.36,1917.5,0.971,100.0(0.2399399492875409),0.0004,0.04,7690.0,0.94,5.393,0.964
imagenet,32,l1,standard_imagenet,fb_bim_l1_minimal,100.0(0.21713087549161592),0.2096,20.96,28.583,0.58,100.0(0.35496511003450704),0.0002,0.02,2716.238,0.889,100.0(0.2632999619752077),0.0003,0.03,5844.456,0.798,100.0(0.2399399492875409),0.0002,0.02,7939.072,0.881,0.407,0.856
imagenet,32,l1,standard_imagenet,fb_pgd_l1_minimal,100.0(0.21713087549161592),0.1903,19.03,28.722,0.583,100.0(0.35496511003450704),0.0002,0.02,2788.55,0.868,100.0(0.2632999619752077),0.0003,0.03,6153.806,0.765,100.0(0.2399399492875409),0.0002,0.02,8527.425,0.851,2.048,0.828
imagenet,32,l1,standard_imagenet,art_bim_l1_minimal,100.0(0.21713087549161592),0.207,20.7,21.932,0.752,100.0(0.35496511003450704),0.0001,0.01,100000.0,0.008,100.0(0.2632999619752077),0.0001,0.01,100000.0,0.007,100.0(0.2399399492875409),0.0001,0.01,100000.0,0.005,4.219,0.007
imagenet,32,l1,wong_2020,original_apgd_l1_minimal,100.0(0.21713087549161592),0.0274,2.74,480.02,0.963,100.0(0.35496511003450704),0.6212,62.12,1.111,0.983,100.0(0.2632999619752077),0.0581,5.81,94.697,0.977,100.0(0.2399399492875409),0.0069,0.69,1268.516,0.963,1.381,0.968
imagenet,32,l1,wong_2020,fb_pgd_l1_minimal,100.0(0.21713087549161592),0.0019,0.19,1494.313,0.874,100.0(0.35496511003450704),0.0417,4.17,16.533,0.634,100.0(0.2632999619752077),0.0039,0.39,761.9,0.939,100.0(0.2399399492875409),0.0028,0.28,2193.21,0.918,2.07,0.91
imagenet,32,l1,wong_2020,fb_bim_l1_minimal,100.0(0.21713087549161592),0.0018,0.18,1617.205,0.863,100.0(0.35496511003450704),0.0416,4.16,16.776,0.613,100.0(0.2632999619752077),0.0039,0.39,770.275,0.938,100.0(0.2399399492875409),0.0028,0.28,2297.637,0.914,0.405,0.905
imagenet,32,l1,wong_2020,adv_lib_apgd_l1_minimal,100.0(0.21713087549161592),0.0143,1.43,1476.25,0.856,100.0(0.35496511003450704),0.7473,74.73,0.781,0.989,100.0(0.2632999619752077),0.0216,2.16,519.551,0.936,100.0(0.2399399492875409),0.0017,0.17,3570.0,0.845,5.39,0.879
imagenet,32,l1,wong_2020,art_bim_l1_minimal,100.0(0.21713087549161592),0.0017,0.17,100000.0,0.198,100.0(0.35496511003450704),0.0434,4.34,14.917,0.681,100.0(0.2632999619752077),0.0036,0.36,773.281,0.309,100.0(0.2399399492875409),0.0026,0.26,100000.0,0.176,4.223,0.228
imagenet,32,l1,salman_2020,original_apgd_l1_minimal,100.0(0.21713087549161592),0.0283,2.83,354.668,0.975,100.0(0.35496511003450704),0.037,3.7,17.75,0.982,100.0(0.2632999619752077),0.4426,44.26,7.854,0.98,100.0(0.2399399492875409),0.014,1.4,2084.687,0.926,1.571,0.961
imagenet,32,l1,salman_2020,fb_pgd_l1_minimal,100.0(0.21713087549161592),0.0034,0.34,1063.335,0.907,100.0(0.35496511003450704),0.0043,0.43,119.883,0.936,100.0(0.2632999619752077),0.0325,3.25,72.325,0.595,100.0(0.2399399492875409),0.0064,0.64,1772.296,0.932,2.359,0.925
imagenet,32,l1,salman_2020,fb_bim_l1_minimal,100.0(0.21713087549161592),0.0032,0.32,1083.731,0.895,100.0(0.35496511003450704),0.0042,0.42,125.529,0.934,100.0(0.2632999619752077),0.0317,3.17,75.78,0.565,100.0(0.2399399492875409),0.0064,0.64,1786.26,0.923,0.478,0.918
imagenet,32,l1,salman_2020,adv_lib_apgd_l1_minimal,100.0(0.21713087549161592),0.0122,1.22,995.625,0.896,100.0(0.35496511003450704),0.0215,2.15,24.712,0.937,100.0(0.2632999619752077),0.4395,43.95,6.26,0.988,100.0(0.2399399492875409),0.0062,0.62,4059.999,0.811,6.273,0.882
imagenet,32,l1,salman_2020,art_bim_l1_minimal,100.0(0.21713087549161592),0.004,0.4,100000.0,0.316,100.0(0.35496511003450704),0.0042,0.42,114.771,0.386,100.0(0.2632999619752077),0.0337,3.37,65.232,0.637,100.0(0.2399399492875409),0.0064,0.64,100000.0,0.291,4.837,0.331
imagenet,32,l1,debenedetti_2022,original_apgd_l1_minimal,100.0(0.21713087549161592),0.028,2.8,179.985,0.993,100.0(0.35496511003450704),0.017,1.7,32.183,0.997,100.0(0.2632999619752077),0.0272,2.72,79.849,0.999,100.0(0.2399399492875409),0.1306,13.06,35.775,0.976,1.249,0.996
imagenet,32,l1,debenedetti_2022,adv_lib_apgd_l1_minimal,100.0(0.21713087549161592),0.0795,7.95,297.754,0.962,100.0(0.35496511003450704),0.0145,1.45,38.102,0.962,100.0(0.2632999619752077),0.0228,2.28,138.225,0.976,100.0(0.2399399492875409),0.1865,18.65,31.416,0.985,4.852,0.967
imagenet,32,l1,debenedetti_2022,fb_pgd_l1_minimal,100.0(0.21713087549161592),0.0039,0.39,814.609,0.876,100.0(0.35496511003450704),0.0032,0.32,207.08,0.871,100.0(0.2632999619752077),0.0046,0.46,578.577,0.908,100.0(0.2399399492875409),0.0154,1.54,294.434,0.526,1.698,0.885
imagenet,32,l1,debenedetti_2022,fb_bim_l1_minimal,100.0(0.21713087549161592),0.0037,0.37,871.703,0.864,100.0(0.35496511003450704),0.0032,0.32,212.737,0.859,100.0(0.2632999619752077),0.0046,0.46,609.638,0.898,100.0(0.2399399492875409),0.0152,1.52,303.415,0.505,0.335,0.874
imagenet,32,l1,debenedetti_2022,art_bim_l1_minimal,100.0(0.21713087549161592),0.0037,0.37,759.766,0.409,100.0(0.35496511003450704),0.0029,0.29,206.382,0.345,100.0(0.2632999619752077),0.0043,0.43,581.66,0.409,100.0(0.2399399492875409),0.0151,1.51,288.335,0.492,3.569,0.388
imagenet,32,l1,ensemble,original_apgd_l1_HORNET,100.0(0.21713087549161592),0.052,5.2,144.027,0.994,100.0(0.35496511003450704),0.0455,4.55,14.488,0.998,100.0(0.2632999619752077),0.0722,7.22,50.639,0.999,100.0(0.2399399492875409),0.0166,1.66,1123.672,0.948,5.452,0.985
imagenet,32,l1,ensemble,adv_lib_apgd_l1_HORNET,100.0(0.21713087549161592),0.0971,9.71,257.036,0.957,100.0(0.35496511003450704),0.0308,3.08,16.928,0.963,100.0(0.2632999619752077),0.0396,3.96,115.659,0.976,100.0(0.2399399492875409),0.0067,0.67,3078.75,0.808,21.572,0.926
imagenet,32,l1,ensemble,fb_pgd_l1_HORNET,100.0(0.21713087549161592),0.0048,0.48,602.244,0.893,100.0(0.35496511003450704),0.0053,0.53,104.451,0.905,100.0(0.2632999619752077),0.0059,0.59,442.181,0.927,100.0(0.2399399492875409),0.0066,0.66,1401.762,0.933,8.191,0.915
imagenet,32,l1,ensemble,fb_bim_l1_HORNET,100.0(0.21713087549161592),0.0047,0.47,618.995,0.883,100.0(0.35496511003450704),0.0052,0.52,100.738,0.899,100.0(0.2632999619752077),0.0059,0.59,454.721,0.922,100.0(0.2399399492875409),0.0065,0.65,1501.553,0.929,1.628,0.908
imagenet,32,l1,ensemble,art_bim_l1_HORNET,100.0(0.21713087549161592),0.0054,0.54,633.145,0.46,100.0(0.35496511003450704),0.005,0.5,98.558,0.447,100.0(0.2632999619752077),0.0056,0.56,458.301,0.458,100.0(0.2399399492875409),0.0064,0.64,100000.0,0.301,16.875,0.417
