Dataset,BatchSize,Threat,Source Model,Attack,standard_imagenet TSR(FR),standard_imagenet S_APR,standard_imagenet S_total,standard_imagenet median_norm,standard_imagenet Optimality,wong_2020 TSR(FR),wong_2020 S_APR,wong_2020 S_total,wong_2020 median_norm,wong_2020 Optimality,salman_2020 TSR(FR),salman_2020 S_APR,salman_2020 S_total,salman_2020 median_norm,salman_2020 Optimality,debenedetti_2022 TSR(FR),debenedetti_2022 S_APR,debenedetti_2022 S_total,debenedetti_2022 median_norm,debenedetti_2022 Optimality,per-time,Average transfer optimality
imagenet,32,linf,standard_imagenet,art_fgm_minimal,100.0(0.21713087549161592),37.4806,3748.06,0.001,0.827,100.0(0.3549807917922312),0.0567,5.67,0.042,0.991,100.0(0.2632999619752077),0.0499,4.99,0.088,0.985,100.0(0.2399399492875409),0.0708,7.08,0.101,0.986,0.125,0.987
imagenet,32,linf,standard_imagenet,ch_fgm_minimal,100.0(0.21713087549161592),37.4806,3748.06,0.001,0.827,100.0(0.3549807917922312),0.0567,5.67,0.042,0.991,100.0(0.2632999619752077),0.0499,4.99,0.088,0.985,100.0(0.2399399492875409),0.0708,7.08,0.101,0.986,0.054,0.987
imagenet,32,linf,standard_imagenet,ch_pgd_minimal,100.0(0.21713087549161592),38.2251,3822.51,0.001,0.894,100.0(0.35497796245994),0.0525,5.24,0.043,0.983,100.0(0.2632999619752077),0.049,4.9,0.09,0.984,100.0(0.23999227583647598),0.0681,6.81,0.106,0.978,1.66,0.982
imagenet,32,linf,standard_imagenet,original_ga_tdmi_fgsm,100.0(0.21713087549161592),0.0196,1.96,0.2,0.0,98.5(0.3553615259647544),0.0183,1.8,0.2,0.953,97.9(0.2664902986113991),0.0184,1.8,0.2,0.973,93.7(0.25090688615348006),0.0177,1.66,0.2,0.931,0.02,0.953
imagenet,32,linf,standard_imagenet,original_ga_dmi_fgsm,100.0(0.21713087549161592),0.0196,1.96,0.2,0.0,98.2(0.3555425401419431),0.018,1.77,0.2,0.936,97.5(0.26708964253255857),0.0181,1.76,0.2,0.951,92.3(0.25291080678039446),0.017,1.57,0.2,0.88,0.019,0.922
imagenet,32,linf,standard_imagenet,art_bim_minimal,100.0(0.21713087549161592),36.3489,3634.89,0.001,0.894,100.0(0.35496511003450704),0.0471,4.71,0.043,0.893,100.0(0.2632999619752077),0.0433,4.33,0.107,0.885,100.0(0.2399399492875409),0.0593,5.93,0.142,0.846,4.945,0.874
imagenet,32,linf,standard_imagenet,art_pgd_minimal,100.0(0.21713087549161592),33.8737,3387.37,0.001,0.894,100.0(0.35496511003450704),0.0476,4.76,0.043,0.893,100.0(0.2632999619752077),0.0429,4.29,0.106,0.884,100.0(0.23999449280361773),0.0599,5.99,0.142,0.843,2.04,0.874
imagenet,32,linf,standard_imagenet,original_apgd_minimal,100.0(0.21713087549161592),49.0497,4904.97,0.0,1.0,100.0(0.3549807917922312),0.0427,4.26,0.058,0.844,100.0(0.2632999619752077),0.038,3.8,0.127,0.835,100.0(0.23999227583647598),0.0442,4.42,0.165,0.81,0.913,0.83
imagenet,32,linf,wong_2020,original_apgd_minimal,100.0(0.21713087549161592),0.2173,21.73,0.03,0.963,100.0(0.35496511003450704),1.0453,104.53,0.002,1.0,100.0(0.2632999619752077),0.2452,24.52,0.031,0.984,100.0(0.2399399492875409),0.3425,34.25,0.039,0.981,0.916,0.976
imagenet,32,linf,wong_2020,art_bim_minimal,100.0(0.21713087549161592),0.2554,25.54,0.032,0.923,100.0(0.35496511003450704),0.9801,98.01,0.003,0.964,100.0(0.2632999619752077),0.2679,26.79,0.035,0.946,100.0(0.2399399492875409),0.3664,36.64,0.045,0.945,4.909,0.938
imagenet,32,linf,wong_2020,art_pgd_minimal,100.0(0.21713087549161592),0.2635,26.35,0.032,0.922,100.0(0.35496511003450704),0.9774,97.74,0.003,0.963,100.0(0.2632999619752077),0.2675,26.75,0.035,0.944,100.0(0.2399399492875409),0.3671,36.71,0.045,0.943,1.978,0.936
imagenet,32,linf,wong_2020,ch_pgd_minimal,100.0(0.21713087549161592),0.2598,25.98,0.032,0.891,100.0(0.35496511003450704),0.9659,96.59,0.003,0.955,100.0(0.2632999619752077),0.2716,27.16,0.035,0.878,100.0(0.2399399492875409),0.3604,36.04,0.045,0.863,1.639,0.877
imagenet,32,linf,wong_2020,art_fgm_minimal,99.9(0.21739542672228485),0.2596,25.93,0.033,0.826,100.0(0.35496511003450704),0.958,95.8,0.003,0.853,100.0(0.2633503946062301),0.2714,27.13,0.031,0.846,99.6(0.24078081298298729),0.367,36.54,0.042,0.81,0.125,0.827
imagenet,32,linf,wong_2020,ch_fgm_minimal,99.9(0.21739542672228485),0.2596,25.93,0.033,0.826,100.0(0.35496511003450704),0.958,95.8,0.003,0.853,100.0(0.2633503946062301),0.2714,27.13,0.031,0.846,99.6(0.24078081298298729),0.367,36.54,0.042,0.81,0.054,0.827
imagenet,32,linf,wong_2020,original_ga_dmi_fgsm,99.9(0.2172568972974041),0.0196,1.96,0.2,0.0,100.0(0.35496511003450704),0.0196,1.96,0.2,0.0,99.9(0.2634491835562183),0.0195,1.95,0.2,0.0,99.8(0.2403418907102932),0.0195,1.95,0.2,0,0.019,0.0
imagenet,32,linf,wong_2020,original_ga_tdmi_fgsm,100.0(0.21719539522099748),0.0196,1.96,0.2,0.0,100.0(0.35496511003450704),0.0196,1.96,0.2,0.0,100.0(0.2632999619752077),0.0195,1.95,0.2,0.0,99.6(0.24073574943386855),0.0195,1.95,0.2,0,0.02,0.0
